Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MNQ 12-23,Buy,1,15847.75,11/16/2023 1:50:30 PM,25d05d0beb82488a970f25229691828c,Entry,1 L,adbeac0ac5b94f60aa341e78d49ff3af,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15858.00,11/16/2023 1:53:07 PM,97bec87f329c4db49b867008ef8cbc01,Entry,2 L,244c3027ac3a40fcb935057e2733c4c3,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15843.00,11/16/2023 1:57:41 PM,84b8f7625b674e928abea5f5cd830e37,Exit,1 L,abe514fc925c4a2ca2e2e83ab08fec7e,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15843.00,11/16/2023 1:57:41 PM,f6f15c56d7b542b1a8734302bfdc1975,Exit,-,d42f08583e014be68cf51d9e68a5630f,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15842.75,11/16/2023 2:00:30 PM,8f255c7c54624d1181eac87abafe11f2,Entry,1 L,dc8f6613cbef45c191ce815cd4be638b,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15852.00,11/16/2023 2:04:15 PM,e705bfa97d2b4b57b77df8e0d4e90c4b,Entry,2 L,fd46a24fe0aa4fc197c7f5d052831a01,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15862.50,11/16/2023 2:12:43 PM,f6c3a1ddaf1d45dc91aced8e6935965c,Exit,1 L,f31fbd71347342bc952ac18ed2a7c2c3,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15862.50,11/16/2023 2:12:43 PM,5625cdd319a0475a9eb37a2a266ac704,Exit,-,1e3b3ec0e4f743288d8455adbf106053,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15855.50,11/16/2023 2:26:11 PM,1a7ceb7f19fa4da59709802cc8f0ed7f,Entry,1 S,a68affbd15bc4d20b7be7c473987317e,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15865.50,11/16/2023 2:33:42 PM,bb1d2bfca8cb451db8fbca2f14535159,Exit,-,57d5be9a5b32428fbb292c1918159277,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15865.75,11/16/2023 2:37:08 PM,9aaf2539ec194e658b4b188ddfd5d144,Entry,1 S,969530d6b2b64c9fb119e4d22157a647,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15873.50,11/16/2023 2:40:54 PM,a5c9d28932a746fab2817b154e2a2a73,Entry,2 S,e16017d8e4a04e088b0c05482aecc492,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
